0,0.25,0.5,1,2,4,8,exclusions,pruning,pcs
0.02114165,0.02748414,0.0422833,0.08245243,0.15221987,0.25792812,0.32346723,none,none,pi
0.02325581,0.02748414,0.0422833,0.08245243,0.15221987,0.24735729,0.29175476,none,0.1,1
0.02114165,0.02748414,0.0422833,0.0782241,0.15856237,0.26215645,0.30443975,none,none,1
0.02325581,0.02748414,0.04016913,0.08245243,0.15221987,0.24735729,0.28964059,lit,0.1,1
0.02114165,0.02748414,0.0422833,0.08033827,0.1564482,0.26638478,0.30232558,lit,none,1
0.02114165,0.02959831,0.04016913,0.08245243,0.1205074,0.14164905,0.16490486,none,0.1,4
0.02114165,0.02748414,0.03805497,0.1141649,0.39957717,0.74841438,0.9154334,none,none,4
0.02114165,0.02959831,0.04016913,0.08033827,0.12262156,0.14164905,0.1627907,lit,0.1,4
0.01902748,0.03171247,0.04439746,0.10782241,0.27061311,0.51162791,0.62790698,lit,none,4
0.02325581,0.39112051,7.65539112,15.84989429,17.8794926,18.74418605,19.03171247,none,none,none
